day,estimated_fees_usd,total_volume_usd,trade_count,unique_traders,fee_percentage,fees_7d_ma,fees_growth_pct
2025-06-25 00:00:00,186005.1514,62001717.12,48512,1231,0.3,995338.8819,-83.78487358
2025-06-24 00:00:00,1147108.857,382369619,273203,3257,0.3,1155847.688,-27.39918546
2025-06-23 00:00:00,1580022.021,526674007,351415,31736,0.3,1188361.957,6.926373089
2025-06-22 00:00:00,1477672.884,492557628,354761,3111,0.3,1148674.62,60.59335708
2025-06-21 00:00:00,920133.2551,306711085,182865,3192,0.3,1017502.291,-12.23554957
2025-06-20 00:00:00,1048412.256,349470752.1,212542,3719,0.3,971736.0192,72.43119287
2025-06-19 00:00:00,608017.7484,202672582.8,162487,3633,0.3,1106189.388,-53.57107784
2025-06-18 00:00:00,1309566.796,436522265.4,266994,4087,0.3,1242151.664,-4.738599348
2025-06-17 00:00:00,1374708.735,458236245.1,296196,4467,0.3,1269061.863,5.567307543
2025-06-16 00:00:00,1302210.663,434070221,262244,4683,0.3,1322688.284,132.7593281
2025-06-15 00:00:00,559466.5844,186488861.5,146004,3933,0.3,1279058.368,-6.719710864
2025-06-14 00:00:00,599769.3506,199923116.9,159410,4575,0.3,1256210.285,-69.85456277
2025-06-13 00:00:00,1989585.84,663195280.1,361761,5333,0.3,1232875.143,27.55769499
2025-06-12 00:00:00,1559753.679,519917892.9,331595,4254,0.3,1088162.109,4.126705123
2025-06-11 00:00:00,1497938.187,499312729,343383,3878,0.3,1080902.513,-14.4081143
2025-06-10 00:00:00,1750093.685,583364561.8,349355,5691,0.3,988858.1271,75.5709761
2025-06-09 00:00:00,996801.2506,332267083.5,238390,4233,0.3,870087.2202,149.493465
2025-06-08 00:00:00,399530.004,133176668,131649,3668,0.3,866863.7038,-8.45356968
2025-06-07 00:00:00,436423.3565,145474452.2,161286,4717,0.3,901061.8112,-55.31171737
2025-06-06 00:00:00,976594.6034,325531534.5,260873,4918,0.3,955477.275,-35.27927769
2025-06-05 00:00:00,1508936.502,502978834,294879,3886,0.3,1043169.714,76.76756237
2025-06-04 00:00:00,853627.4879,284542496,234322,3654,0.3,1034075.629,-7.082838553
2025-06-03 00:00:00,918697.337,306232445.7,236756,3774,0.3,1065265.516,-5.700801703
2025-06-02 00:00:00,974236.6358,324745545.3,240826,3761,0.3,1121314.872,52.48256156
2025-06-01 00:00:00,638916.756,212972252,185008,2857,0.3,1085523.406,-21.8289427
2025-05-31 00:00:00,817331.6033,272443867.8,239611,3100,0.3,1111047.967,-48.60977198
2025-05-30 00:00:00,1590441.675,530147225,342692,3558,0.3,1090436.908,10.04400367
2025-05-29 00:00:00,1445277.909,481759302.9,313303,4216,0.3,1133268.067,34.82614662
2025-05-28 00:00:00,1071956.698,357318899.2,245014,2960,0.3,1162831.593,-18.23633268
2025-05-27 00:00:00,1311042.83,437014276.5,251396,3392,0.3,1340551.379,81.1592374
